siren,siret_siege,denomination,nom_usage,sigle,naf,naf_numerique,tags_numerique,categorie_juridique,famille_ess,flag_ess_sirene,est_active,date_creation,tranche_effectifs,annee_effectifs,categorie_entreprise,caractere_employeur,societe_mission,rna,code_postal,commune,site_web,nom_structure_porteuse,sources,origines,methode_jointure,confiance_jointure,score_enrichissement
321069874,32106987400030,ASSOCIATION CHAMPOLLION,,,62.01Z,True,dev_logiciel,9220.0,association,True,True,1980-09-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
321079600,32107960000011,IMAGICIEL,,,63.11Z,True,hebergement,9220.0,association,True,True,1980-12-05,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
322259425,32225942500047,AIDE INFORMATION COLLECTIVITE,,AIC 76,63.11Z,True,hebergement,9220.0,association,True,True,1976-12-22,NN,,PME,,,W763008400,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.75
322747510,32274751000020,COMITE DU MARRON DE REDON,,,63.11Z,True,hebergement,9220.0,association,True,True,1980-11-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
322837253,32283725300010,ASS REN ETUDE COMMUNAUTES EURO,,,63.11Z,True,hebergement,9220.0,association,True,True,1981-02-24,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
323169060,32316906000015,BUR INTER AFGHANISTAN,,,63.11Z,True,hebergement,9220.0,association,True,True,1981-10-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
323378067,32337806700017,ISC CREATION ENTREPRISE,,,63.11Z,True,hebergement,9220.0,association,True,True,1981-10-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
324006188,32400618800019,LOGICENTRE HLM,,,63.11Z,True,hebergement,9220.0,association,True,True,1982-04-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
324079508,32407950800101,TECHNIQUES - GESTION INFORMATIQUE,,TGI,63.11Z,True,hebergement,5460.0,,True,True,1982-02-20,11,2023.0,PME,,,,,,,,ess_france|sirene,ess_flag_insee|ess_x_naf,siren_direct,1.0,0.58
324082049,32408204900010,ASSO REGARD SUR PARIS,,,63.11Z,True,hebergement,9220.0,association,True,True,1980-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
324144831,32414483100017,POUR L ART,,,63.11Z,True,hebergement,9220.0,association,True,True,1982-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
324180991,32418099100014,CENTRE RECHER INFORM FEMINISTE,,,63.11Z,True,hebergement,9220.0,association,True,True,1981-10-15,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
324216092,32421609200019,BATIMENT INDUSTRIE CONSTRUCTIO,,,63.11Z,True,hebergement,9220.0,association,True,True,1977-03-11,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
324521566,32452156600012,AGIR FORMAT RECHER DEVELOPPEME,,,63.11Z,True,hebergement,9220.0,association,True,True,1978-05-19,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
324803113,32480311300012,ASS BIOLOG CONTROL QUALIT CHAMP ARDENNES,,,63.11Z,True,hebergement,9220.0,association,True,True,1976-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
324895747,32489574700016,IRYS INS RELAXATION YOGA SOPHR,,,63.11Z,True,hebergement,9220.0,association,True,True,1981-04-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
