siren,denominationUniteLegale,nomUniteLegale,activitePrincipaleUniteLegale,economieSocialeSolidaireUniteLegale,categorieJuridiqueUniteLegale,trancheEffectifsUniteLegale,sources,methode_jointure
908944382,SOFTWARE FACTORY,,62.01Z,O,5710,01,sirene,siren_direct
908944945,MON ASSISTANT CLOUD,,62.02A,O,9220,NN,sirene,siren_direct
908957194,ASSOCATION ODV,,58.21Z,O,9220,NN,sirene,siren_direct
908960057,BLACK CONNEXION,,63.12Z,O,9220,NN,sirene,siren_direct
909006850,RAPSODIE,,62.01Z,O,5710,03,sirene,siren_direct
909104077,TCORPORATION - AGIR AVEC LE NUMERIQUE,,62.02A,O,9220,NN,sirene,siren_direct
909116717,WAVECLOUD,,63.11Z,O,9220,NN,sirene,siren_direct
909170334,CSSCADE,,62.02A,O,9220,NN,sirene,siren_direct
909187957,PETITE CARROT,,62.01Z,O,5710,NN,sirene,siren_direct
909229205,CREATIV MOUNTAIN,,58.29C,O,5710,NN,sirene,siren_direct
909336653,LOOTI,,58.29C,O,5710,00,sirene,siren_direct
909353054,STEVEN,,62.01Z,O,5710,NN,sirene,siren_direct
909399859,REVOTRADE,,62.01Z,O,5710,NN,sirene,siren_direct
909404246,LA BASTIDE DIGITALE,,62.02A,O,5710,01,sirene,siren_direct
909456154,JUNO,,58.29A,O,5710,11,sirene,siren_direct
909577587,MIRAMUNDI,,63.12Z,O,5710,NN,sirene,siren_direct
909608572,KIPAZA,,62.02A,O,9220,NN,sirene,siren_direct
909703514,PALMACLOUD,,63.11Z,O,9220,NN,sirene,siren_direct
909704926,TEDYWARE,,62.01Z,O,9220,NN,sirene,siren_direct
909752032,SANAICHA,,62.02A,O,5710,NN,sirene,siren_direct
909772568,FROMDAX,,62.02A,O,5710,NN,sirene,siren_direct
909834137,POLYMNY STUDIO,,62.02A,O,5560,02,sirene,siren_direct
909968125,JEED HOME,,62.02A,O,9220,NN,sirene,siren_direct
910090133,SOIGNER DANS LE 28,,62.01Z,O,9220,NN,sirene,siren_direct
910186774,COSMOS-HOST,,62.01Z,O,9220,NN,sirene,siren_direct
910200880,SILVER IMPACT,,62.01Z,O,5710,01,sirene,siren_direct
910279652,PYRENEES WARGAMES,,58.21Z,O,9220,NN,sirene,siren_direct
910390525,KEOCLOUD,,63.11Z,O,9220,NN,sirene,siren_direct
910419464,APPCOM BUSINESS,,62.01Z,O,5710,NN,sirene,siren_direct
910450279,MAINS D'ARGENT,,63.12Z,O,5710,01,sirene,siren_direct
910537430,WIMBI RENT,,62.01Z,O,9220,NN,sirene,siren_direct
910704147,MUSE,,58.29C,O,5710,02,sirene,siren_direct
910770064,CSIRT HAUTS-DE-FRANCE,,62.02A,O,9220,02,sirene,siren_direct
910886324,GUYANE PARTENAIRES,,63.12Z,O,9220,NN,sirene,siren_direct
910924463,SPACEHEBERG,,63.11Z,O,9220,NN,sirene,siren_direct
911139400,COMPTOIR DES LOGICIELS,,58.29C,O,5710,NN,sirene,siren_direct
911191260,LA ROOM,,63.12Z,O,9220,NN,sirene,siren_direct
911279966,RGA PROD,,63.12Z,O,9220,NN,sirene,siren_direct
911328573,DPA EUROPE,,63.11Z,O,9220,NN,sirene,siren_direct
911383552,LE NUMERIQUE POUR TOUS,,63.12Z,O,9220,NN,sirene,siren_direct
911448298,UNIXFY,,62.02A,O,9220,NN,sirene,siren_direct
911468213,NUMERO 4,,62.01Z,O,5710,NN,sirene,siren_direct
911679603,HERITA CORP,,62.01Z,O,5710,NN,sirene,siren_direct
911730380,TRS CONSEIL,,62.02A,O,5710,NN,sirene,siren_direct
911740371,LA TRAME,,63.12Z,O,9220,01,sirene,siren_direct
911799609,DNS0.EU,,62.01Z,O,9220,NN,sirene,siren_direct
911888386,CHEFOOD,,63.12Z,O,5710,01,sirene,siren_direct
911974442,FINISTDEVS,,62.01Z,O,9220,NN,sirene,siren_direct
911992105,INTERNET ET MOI - I&M,,62.02A,O,9220,NN,sirene,siren_direct
911996528,SLIDER GROUP,,62.02A,O,5710,01,sirene,siren_direct
911997104,ALLIANCE BLOCKCHAIN FRANCE,,62.01Z,O,9220,NN,sirene,siren_direct
912248473,ENTRELP,,63.12Z,O,5710,01,sirene,siren_direct
912286796,GIBIDEV,,62.01Z,O,5499,NN,sirene,siren_direct
912326022,LES ATELIERS DE CHOUF TOLOSA,,63.12Z,O,9220,NN,sirene,siren_direct
912346103,HOSTMYGAMES,,63.11Z,O,9220,NN,sirene,siren_direct
912499050,KINOME,,62.01Z,O,5710,NN,sirene,siren_direct
912563780,CAMPUS ASSO,,63.12Z,O,9220,NN,sirene,siren_direct
912582186,NANGA PARBAT,,63.12Z,O,9220,NN,sirene,siren_direct
912602422,PSQ SOFTWARE,,62.02A,O,5710,11,sirene,siren_direct
912661741,I-OASIS,,62.01Z,O,5710,01,sirene,siren_direct
912680022,NEWNAME,,63.11Z,O,9220,NN,sirene,siren_direct
912837861,ARTILOCO,,62.01Z,O,5710,NN,sirene,siren_direct
912874260,LE CLUB DU LIBRE,,62.02A,O,9220,NN,sirene,siren_direct
913006656,ACCESS COMMUNITY,,62.03Z,O,9220,NN,sirene,siren_direct
913074670,EDUCASWIM,,62.01Z,O,5710,NN,sirene,siren_direct
913125456,NAMEO GAMES,,58.21Z,O,9220,NN,sirene,siren_direct
913139408,KH NETWORK,,62.02A,O,5710,NN,sirene,siren_direct
913343216,MKLF CORP,,62.01Z,O,5710,NN,sirene,siren_direct
913364725,ANARYA,,63.12Z,O,9220,NN,sirene,siren_direct
913370128,BEDYCASA,,62.01Z,O,5710,01,sirene,siren_direct
913410775,DIV WEB,,62.01Z,O,9220,NN,sirene,siren_direct
913457867,HEEGEE,,58.29B,O,5710,01,sirene,siren_direct
913480448,ID-TECH,,62.02A,O,9220,NN,sirene,siren_direct
913493409,WORK-HOME,,62.01Z,O,5710,NN,sirene,siren_direct
913514873,NOLONELY,,62.01Z,O,5499,NN,sirene,siren_direct
913612917,DELEGATION GENERALE NUMERIQUE - DGNUM,,62.01Z,O,9220,NN,sirene,siren_direct
913672424,IMAGO,,62.01Z,O,9220,NN,sirene,siren_direct
913702064,FRAME WEB AGENCY,,62.01Z,O,5499,01,sirene,siren_direct
913770301,VOLTA,,62.01Z,O,5710,NN,sirene,siren_direct
913862637,ASSOFTWARE,,58.29C,O,9220,NN,sirene,siren_direct
913880480,EBOP,,63.12Z,O,9220,NN,sirene,siren_direct
913926663,SOFTKY GROUP,,63.11Z,O,9220,NN,sirene,siren_direct
913934618,CAMPUS REGIONAL DE CYBERSECURITE ET DE CONFIANCE NUMERIQUE NOUVELLE-AQUITAINE,,62.02A,O,9220,03,sirene,siren_direct
913940185,SHIMMYA,,63.12Z,O,9220,NN,sirene,siren_direct
913960266,ONE PANTHEON,,62.01Z,O,9220,NN,sirene,siren_direct
913999140,SMAKO GROUP,,62.02A,O,5710,01,sirene,siren_direct
914017405,PADDOCK ACADEMY,,63.11Z,O,5710,01,sirene,siren_direct
914038815,GMX DEV,,62.01Z,O,5499,NN,sirene,siren_direct
914056478,ZDK-LABS,,62.01Z,O,5710,01,sirene,siren_direct
914108667,S&Z CONSULT,,62.02A,O,5499,NN,sirene,siren_direct
914232541,810,,62.02A,O,9220,NN,sirene,siren_direct
914249305,WORLD LIKE HOME,,63.12Z,O,5710,NN,sirene,siren_direct
914374673,GAMES 4 YOU 2 KNOW,,62.02A,O,9220,NN,sirene,siren_direct
914389747,CUMULUS CORPORATION,,62.01Z,O,9220,NN,sirene,siren_direct
914537881,ASSET2I,,62.01Z,O,5710,NN,sirene,siren_direct
914619150,GALAXY TV,,62.01Z,O,9220,NN,sirene,siren_direct
914632450,GAIA PRODUCTION,,62.01Z,O,9220,NN,sirene,siren_direct
914716428,ENVOLE - LE COLLECTIF POUR APPRENDRE A MIEUX VIVRE ENSEMBLE,,63.12Z,O,9220,NN,sirene,siren_direct
914771415,DP-SERVICES,,62.02A,O,5710,NN,sirene,siren_direct
914790464,PRODUCTIONS 110,,62.01Z,O,9220,NN,sirene,siren_direct
914810759,LES SECOURISTES DE FRANCE,,63.12Z,O,9260,NN,sirene,siren_direct
914873286,ICT CAB CONSULTING,,62.02A,O,5710,01,sirene,siren_direct
914886247,COLIBRIS,,62.02A,O,5710,NN,sirene,siren_direct
914905229,COLLECTIF POUR UNE THESE HEUREUSE,,63.12Z,O,9220,NN,sirene,siren_direct
914907548,MA JUSTICE,,63.12Z,O,9220,NN,sirene,siren_direct
914994553,SOCIETE COOPERATIVE D'INTERET COLLECTIF LE COMPTOIR CITOYEN,,62.01Z,O,5710,NN,sirene,siren_direct
914997507,DIGITALFOR.ORG,,62.02A,O,5710,NN,sirene,siren_direct
915122048,GEREM,,62.01Z,O,5710,NN,sirene,siren_direct
915242671,JUBO CONSULTING,,62.02A,O,5499,NN,sirene,siren_direct
915260434,ATJICON,,62.02A,O,5710,NN,sirene,siren_direct
915276802,HYTALE FRANCE (SITE FRANCAIS COMMUNAUTAIRE HYTALE),,63.12Z,O,9220,NN,sirene,siren_direct
915300743,BREAKPOINT CLUB,,62.01Z,O,9220,NN,sirene,siren_direct
917458697,DISPAK,,63.12Z,O,9220,NN,sirene,siren_direct
917528556,FRESHPERF,,63.11Z,O,9220,NN,sirene,siren_direct
917532293,SWITCH COMPAGNIE,,63.11Z,O,9220,NN,sirene,siren_direct
917552820,MERANTI,,62.02A,O,5499,NN,sirene,siren_direct
917569873,AMBITION CORP.,,62.01Z,O,5710,NN,sirene,siren_direct
917657348,MARTINIQUE.PRODUCTIONLOCALE.COM,,63.12Z,O,9220,NN,sirene,siren_direct
917668014,"CORDIWEB TRAITEMENT DE DONNEES, HEBERGEMENT ET ACTIVITES CONNEXES",,63.11Z,O,9220,NN,sirene,siren_direct
917723066,GUIX EUROPE,,62.01Z,O,9220,NN,sirene,siren_direct
917868135,MAWAQIT,,62.02A,O,9220,NN,sirene,siren_direct
917868770,MENGINE,,63.11Z,O,9220,NN,sirene,siren_direct
918032731,HANDINEO,,58.29C,O,5499,01,sirene,siren_direct
918047275,SOUTH SIDE TECH,,62.02A,O,9220,NN,sirene,siren_direct
918143009,1MINUTE2FORCE,,63.12Z,O,9220,NN,sirene,siren_direct
918157652,NWANDA,,62.01Z,O,5710,00,sirene,siren_direct
918181264,OPENHEBERG,,63.11Z,O,9220,NN,sirene,siren_direct
918199779,MY RESO FORMATION,,62.02A,O,9220,00,sirene,siren_direct
918231275,INGENIA COMPLY,,62.02A,O,5710,NN,sirene,siren_direct
918286618,CCG,,63.11Z,O,5710,NN,sirene,siren_direct
918409152,CONGLOMERAT,,58.21Z,O,9220,NN,sirene,siren_direct
918421827,SWAAP,,63.11Z,O,9220,NN,sirene,siren_direct
918500760,WEB4LIVE ASSOCIATION,,63.11Z,O,9220,NN,sirene,siren_direct
918542838,PAC ASSOCIATION,,63.12Z,O,9220,01,sirene,siren_direct
918572272,BLACKHOST HEBERGEMENT,,63.11Z,O,9220,NN,sirene,siren_direct
918577214,DEV & FUN,,62.01Z,O,9220,NN,sirene,siren_direct
918731381,DISCLOVER,,62.02A,O,5710,NN,sirene,siren_direct
918746389,CO'LEC,,63.12Z,O,5710,01,sirene,siren_direct
918816141,L'OUVREUSE MAGAZINE,,63.12Z,O,9220,NN,sirene,siren_direct
918824566,STORM HEBERG,,63.11Z,O,9220,NN,sirene,siren_direct
919094920,DELICIOUS ORIGINS,,63.12Z,O,5710,00,sirene,siren_direct
919124362,LA TERRASSE MEDIA,,63.12Z,O,9220,NN,sirene,siren_direct
919126466,LUNCH DIGITAL,,62.01Z,O,5710,NN,sirene,siren_direct
919127134,ANEDIA STUDIO,,63.12Z,O,9220,NN,sirene,siren_direct
919135111,ROYALITY,,62.01Z,O,9220,NN,sirene,siren_direct
919386466,CLIENTXCMS,,62.01Z,O,9220,NN,sirene,siren_direct
919425850,OTOPIA,,63.12Z,O,9220,01,sirene,siren_direct
919514570,ARCHEOVISION,,63.12Z,O,9220,NN,sirene,siren_direct
919598862,OPEN RICH MEDIA INITIATIVE,,58.29C,O,9220,NN,sirene,siren_direct
919686287,PETITS LOGICIELS ENTRE AMIS,,62.01Z,O,9220,01,sirene,siren_direct
919741488,GROUPE DELZYION,,63.12Z,O,9220,NN,sirene,siren_direct
919745984,PODCLOUD,,63.11Z,O,5710,01,sirene,siren_direct
919807784,ASSOCIATION FIVESERV,,63.11Z,O,9220,NN,sirene,siren_direct
919908061,IPIC-ASSO,,62.01Z,O,9220,NN,sirene,siren_direct
919924340,Z-ANATOMY,,62.01Z,O,9220,NN,sirene,siren_direct
919993659,DIAMOND-HEBERG,,63.11Z,O,9220,NN,sirene,siren_direct
920086485,NETWORK & SECURITY CONSULTING,,62.02A,O,5710,NN,sirene,siren_direct
920160447,AKYER,,62.01Z,O,5710,NN,sirene,siren_direct
920172194,YUNA,,62.01Z,O,5458,01,sirene,siren_direct
920190998,HELLO ART UP,,62.01Z,O,5710,01,sirene,siren_direct
920269099,TIBOULEN,,63.11Z,O,9220,NN,sirene,siren_direct
920287174,GREWPGROUP,,62.01Z,O,9220,NN,sirene,siren_direct
920363926,ML&A CONSULTING,,62.02A,O,5710,NN,sirene,siren_direct
920537511,KAN LA PLAINE LE GADYAMB,,63.11Z,O,9220,NN,sirene,siren_direct
920555083,INFRATELIER,,62.01Z,O,5710,NN,sirene,siren_direct
920561099,YOUBUG,,62.02B,O,5710,01,sirene,siren_direct
920572666,BLUE SQUARE RADIO,,62.01Z,O,9220,NN,sirene,siren_direct
920645926,ALLFEAT,,62.01Z,O,5710,02,sirene,siren_direct
920687480,H A,,63.11Z,O,9220,NN,sirene,siren_direct
920779485,ASSOCIATION SWN,,63.11Z,O,9220,NN,sirene,siren_direct
920841590,DIAGNORA,,58.29C,O,5710,NN,sirene,siren_direct
