siren;sources;origines;methode_jointure;confiance_jointure;denomination;code_postal;commune;site_web;nom_structure_porteuse;naf;tranche_effectifs;categorie_juridique;denomination__tiers_lieux;code_postal__tiers_lieux;commune__tiers_lieux;site_web__tiers_lieux;denomination__ess_numerique;denomination__cate_juridique;nom_usage;famille_ess;naf_numerique;tags_numerique
324216092;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;BATIMENT INDUSTRIE CONSTRUCTIO;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
324521566;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;AGIR FORMAT RECHER DEVELOPPEME;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
324803113;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASS BIOLOG CONTROL QUALIT CHAMP ARDENNES;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
324895747;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;IRYS INS RELAXATION YOGA SOPHR;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
325156842;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASS REG INFORMATION DOCUMENTATION ETUDES;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
325223428;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;OFFRAMATIQUE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
325437960;sirene;cate_juridique;siren_direct;;DECUS FRANCE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
325577856;ess_france|sirene;ess_numerique;siren_direct;;ASSOCIATION OCTA;;;;;62.02A;;;;;;;;;;;True;conseil_it
325894467;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASS FORMAT CADRES GROUPE CIC;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
325932077;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;CENTRE DIFFUSION DOCUMENTAT SPECTACLE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
325965101;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;CELLULE ECONOMIQUE DE PICARDIE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
326398583;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASSOCIATION DECLINAISONS;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
326833316;ess_france|sirene;ess_numerique;siren_direct;;ASS FORAGE BTP;;;;;62.02A;;;;;;;;;;;True;conseil_it
326836368;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASSOCIATION DES TROIS MONDES;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
327166963;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ADICE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
327327326;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ARTISTE MONDE CONTRE APARTHEID;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
327420824;tiers_lieux;tiers_lieux;scoring;0.9;Espac'Num;49600.0;Beaupréau-en-Mauges;https://evreetmauges.centres-sociaux.fr/;Centre Social Evre et Mauges;;;;;;;;;;;;False;
